Year,GDP,Annual_Hours,Capital_Stock,log_GDP,log_Capital,log_Labor,log_At,At
1994,327274843459.429,2075.68732266614,6222263.5,26.51406615469737,15.64364430526977,7.638047617656098,16.074059696376487,9569195.512122078
1995,360281909643.489,2077.09714754615,6544259.5,26.610152644290586,15.694098811123972,7.638726595794398,16.152045773130837,10345330.051824842
1996,392896866204.516,2079.83032028541,6877184.0,26.69681298741517,15.743719823796885,7.6400415925819365,16.220484013908006,11078136.21961248
1997,415867563592.829,2079.38246466483,7246153.0,26.7536326897734,15.795981265312225,7.63982623662615,16.259152193107123,11514897.538491221
1998,421351317224.941,2080.74117528906,7660627.0,26.766732805361244,15.851604392152836,7.640479443496971,16.25235962983472,11436946.910385452
1999,458821052615.79,2082.69378202302,8201081.5,26.851926107408236,15.91977659378163,7.64141742230396,16.31308297508709,12152955.814618
2000,468395521654.458,2086.62839114097,8682468.0,26.872578907681607,15.976816378019143,7.643304832354113,16.312545034344733,12146420.002642622
2001,485440139204.171,2086.7727865028,9323320.0,26.908321819865293,16.04802934640533,7.643374030284406,16.323318428938563,12277985.609811626
2002,514939140318.756,2088.89356313695,9916184.0,26.967314556488695,16.109678727834364,7.644389809151262,16.360073625798346,12737661.376042861
2003,607700687237.318,2091.99586551616,10550977.0,27.13294830696962,16.17172902023369,7.645873848852153,16.50302514813393,14695107.131330999
2004,709152728830.775,2095.77821237484,11291206.0,27.287336754710047,16.239534750615835,7.647680225135502,16.63250744565643,16726543.482278734
2005,820383763511.445,2096.91608709019,12177142.0,27.43303807200711,16.315071145749886,7.648223014407513,16.751418211629765,18838594.296749715
2006,940259888787.721,2097.09653681833,13214575.0,27.569422151431365,16.396830945079607,7.648309065521056,16.859130428064816,20981054.630943973
2007,1216736438834.96,2098.12133084599,14455985.0,27.8271933401982,16.48661907362223,7.648797618955166,17.08515821210956,26302070.28496939
2008,1198895139005.92,2099.63309058128,15664624.0,27.812421531106732,16.5669154795269,7.649517889675593,17.04181448498318,25186393.97345561
2009,1341888016994.9,2103.53618490971,16981898.0,27.9250987061341,16.647658511163733,7.651375105121606,17.12502440889775,27371815.45430689
2010,1675615519484.96,2110.39267590654,18487850.0,28.147201688022804,16.732624317532604,7.654629311480597,17.315274124424004,33107623.280665576
2011,1823051829894.55,2113.62459192292,20172132.0,28.231533042320507,16.819812605881317,7.65615956878881,17.36809491054932,34903403.731814615
2012,1827637590410.41,2115.71386434159,21863598.0,28.234045314606547,16.900333620032427,7.657147559043184,17.34178263421713,33996992.888636574
2013,1856721507621.58,2117.11331626455,23393342.0,28.249833418082037,16.967962009927085,7.657808796516031,17.333470996872137,33715593.27867909
2014,2039126479154.52,2118.54471055051,24953404.0,28.343542635589493,17.032520803721415,7.658484674658879,17.404145315758726,36184641.389479116
2015,2103588360044.94,2118.82149483149,26605918.0,28.37466574529629,17.096644230209662,7.658615314432718,17.412740310341643,36496988.57453108
2016,2294796885663.16,2121.24307107548,28367374.0,28.46166545254542,17.160750239934764,7.659757550108442,17.476560460997767,38902164.93895517
2017,2651474262755.45,2122.94068248459,30257410.0,28.606136926803075,17.22525167112133,7.660557520891149,17.59793645333136,43922463.900551945
2018,2702929641648.74,2122.94068248459,32325540.0,28.625357353157383,17.29136818781909,7.660557520891149,17.594016098841458,43750609.35746183
2019,2835606256558.19,2122.94068248459,34201480.0,28.673276877356702,17.347779475950304,7.660557520891149,17.622191672194848,45000838.10851608
